nursery_no,nursery_yes,romantic_no,romantic_yes,higher_no,higher_yes,paid_no,paid_yes,address_R,address_U,internet_no,internet_yes,Pstatus_A,Pstatus_T,romantic_no,romantic_yes,address_R,address_U,romantic_no,romantic_yes
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0
1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
